year,title,difficulty
1886,"Presser v. Illinois"
1939,"United States v. Miller"
2008,"District of Columbia v. Heller",-1
2010,"McDonald v. City of Chicago"
2016,"Caetano v. Massachusetts"
2022,"New York State Rifle & Pistol Association, Inc. v. Bruen"
1873,"Slaughter-House Cases"
1897,"Allgeyer v. Louisiana"
1923,"Meyer v. Nebraska"
1925,"Pierce v. Society of Sisters"
1942,"Skinner v. Oklahoma"
1945,"International Shoe Co. v. Washington"
1970,"Goldberg v. Kelly"
1973,"San Antonio Independent School District v. Rodriguez"
1976,"Mathews v. Eldridge"
1985,"Cleveland Board of Education v. Loudermill"
1803,"Marbury v. Madison",-1
1804,"Little v. Barreme"
1926,"Myers v. United States"
1928,"J. W. Hampton, Jr. & Co. v. United States"
1928,"Springer v. Government of the Philippine Islands"
1935,"Humphrey's Executor v. United States"
1977,"Nixon v. General Services Administration"
1983,"Immigration and Naturalization Service v. Chadha"
1986,"Bowsher v. Synar"
1998,"Clinton v. City of New York"
1954,"United States ex rel. Accardi v. Shaughnessy"
1972,"Citizens to Preserve Overton Park v. Volpe"
1984,"Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc."
1997,"Auer v. Robbins"
2007,"Massachusetts v. Environmental Protection Agency"
2015,"Michigan v. Environmental Protection Agency"
2022,"West Virginia v. Environmental Protection Agency"
1952,"Youngstown Sheet & Tube Co. v. Sawyer"
1974,"United States v. Nixon",-1
1982,"Harlow v. Fitzgerald"
1982,"Nixon v. Fitzgerald"
1997,"Clinton v. Jones"
2020,"Trump v. Mazars USA, LLP"
2020,"Trump v. Vance"
1889,"Chae Chan Ping v. United States"
1900,"The Paquete Habana"
1936,"United States v. Curtiss-Wright Export Corp."
2008,"Medellín v. Texas"
2018,"Trump v. Hawaii"
1962,"Baker v. Carr"
1963,"Gray v. Sanders"
1964,"Wesberry v. Sanders"
1964,"Reynolds v. Sims"
1966,"Harper v. Virginia State Board of Elections"
1969,"Avery v. Midland County"
1993,"Shaw v. Reno"
2019,"Rucho v. Common Cause"
1954,"Berman v. Parker"
1978,"Penn Central Transportation Co. v. New York City"
1992,"Lucas v. South Carolina Coastal Council"
1994,"Dolan v. City of Tigard"
2005,"Lingle v. Chevron U.S.A. Inc."
2005,"Kelo v. City of New London"
1817,"Laidlaw v. Organ"
1819,"Dartmouth College v. Woodward"
1905,"Lochner v. New York"
1937,"West Coast Hotel Co. v. Parrish"
1935,"Gregory v. Helvering"
1944,"United States v. South-Eastern Underwriters Association"
1944,"Escola v. Coca-Cola Bottling Co."
1948,"United States v. Paramount Pictures, Inc."
1967,"Prima Paint Corp. v. Flood & Conklin Manufacturing Co."
1984,"Southland Corp. v. Keating"
1985,"Mitsubishi Motors Corp. v. Soler Chrysler-Plymouth, Inc."
2011,"AT&T Mobility LLC v. Concepcion"
1934,"Wheaton v. Peters"
1980,"Diamond v. Chakrabarty"
1984,"Sony Corp. of America v. Universal City Studios, Inc."
1991,"Feist Publications, Inc. v. Rural Telephone Service Company, Inc."
2001,"A&M Records, Inc. v. Napster, Inc."
2013,"Association for Molecular Pathology v. Myriad Genetics, Inc."
2014,"Alice Corp. v. CLS Bank International"
1842,"Swift v. Tyson"
1849,"Luther v. Borden"
1918,"Selective Draft Law Cases"
1921,"Dillon v. Gloss"
1926,"Connally v. General Construction Co."
1926,"Village of Euclid v. Ambler Realty Co."
1938,"Erie Railroad Co. v. Tompkins"
1939,"Coleman v. Miller"
1943,"Burford v. Sun Oil Co."
1957,"Reid v. Covert"
1972,"Gravel v. United States"
1976,"Colorado River Water Conservation District v. United States"
1993,"Daubert v. Merrell Dow Pharmaceuticals"
